sampler,fold,Base,ic.h_max,ic.eps_s,ic.eps_max,ic.eps_ration,ic.m0
Latin Hypercube (nn),32,0.9861111111111112,0.8298611111111112,0.6423611111111112,0.8472222222222222,0.8888888888888888,0.6909722222222222
Latin Hypercube (nn),33,0.9756944444444444,0.8125,0.6215277777777778,0.8958333333333334,0.9236111111111112,0.7291666666666666
Latin Hypercube (nn),34,0.9652777777777778,0.8333333333333334,0.6631944444444444,0.8298611111111112,0.9131944444444444,0.65625
Latin Hypercube (nn),35,0.9861111111111112,0.8576388888888888,0.6736111111111112,0.8541666666666666,0.8923611111111112,0.7256944444444444
Latin Hypercube (nn),36,0.96875,0.8298611111111112,0.6875,0.8541666666666666,0.875,0.7256944444444444
Latin Hypercube (nn),37,0.9722222222222222,0.8125,0.6736111111111112,0.8472222222222222,0.8715277777777778,0.7013888888888888
Latin Hypercube (nn),38,0.9826388888888888,0.84375,0.6354166666666666,0.9097222222222222,0.8958333333333334,0.71875
Latin Hypercube (nn),39,0.96875,0.8159722222222222,0.7013888888888888,0.8715277777777778,0.8958333333333334,0.7222222222222222
Latin Hypercube (nn),40,0.9444444444444444,0.8229166666666666,0.65625,0.8506944444444444,0.8611111111111112,0.6875
Latin Hypercube (nn),41,0.9861111111111112,0.84375,0.6736111111111112,0.9166666666666666,0.8993055555555556,0.7222222222222222
Latin Hypercube (nn),42,0.96875,0.8402777777777778,0.6284722222222222,0.8993055555555556,0.8888888888888888,0.6770833333333334
Latin Hypercube (nn),43,0.9652777777777778,0.8715277777777778,0.6493055555555556,0.9131944444444444,0.8472222222222222,0.7048611111111112
Latin Hypercube (nn),44,0.9791666666666666,0.8333333333333334,0.6180555555555556,0.9027777777777778,0.9236111111111112,0.7013888888888888
Latin Hypercube (nn),45,0.9722222222222222,0.8194444444444444,0.65625,0.875,0.9027777777777778,0.7222222222222222
Latin Hypercube (nn),46,0.96875,0.8298611111111112,0.6423611111111112,0.8298611111111112,0.9166666666666666,0.7222222222222222
Latin Hypercube (nn),47,0.9791666666666666,0.8506944444444444,0.7013888888888888,0.8506944444444444,0.9513888888888888,0.6875
Latin Hypercube (nn),48,0.96875,0.8402777777777778,0.6840277777777778,0.8263888888888888,0.90625,0.7326388888888888
Latin Hypercube (nn),49,0.9826388888888888,0.8298611111111112,0.6458333333333334,0.9305555555555556,0.8784722222222222,0.6840277777777778
Latin Hypercube (rnd),0,0.9791666666666666,0.6840277777777778,0.7326388888888888,0.8993055555555556,0.8576388888888888,0.9756944444444444
Latin Hypercube (rnd),1,0.9791666666666666,0.7777777777777778,0.65625,0.8611111111111112,0.8055555555555556,0.9826388888888888
Latin Hypercube (rnd),2,0.9826388888888888,0.6805555555555556,0.6909722222222222,0.84375,0.8784722222222222,0.9826388888888888
Latin Hypercube (rnd),3,0.9861111111111112,0.6840277777777778,0.65625,0.8541666666666666,0.7881944444444444,0.9895833333333334
Latin Hypercube (rnd),4,0.9895833333333334,0.7708333333333334,0.6284722222222222,0.90625,0.8194444444444444,0.9895833333333334
Latin Hypercube (rnd),5,0.96875,0.7743055555555556,0.6597222222222222,0.8888888888888888,0.8159722222222222,0.9826388888888888
Latin Hypercube (rnd),6,0.9861111111111112,0.75,0.6666666666666666,0.8784722222222222,0.8263888888888888,0.9930555555555556
Latin Hypercube (rnd),7,0.9826388888888888,0.6631944444444444,0.6840277777777778,0.8020833333333334,0.8576388888888888,0.9861111111111112
Latin Hypercube (rnd),8,0.9756944444444444,0.7152777777777778,0.6284722222222222,0.8333333333333334,0.8159722222222222,0.96875
Latin Hypercube (rnd),9,0.9791666666666666,0.71875,0.6944444444444444,0.8159722222222222,0.7638888888888888,0.9756944444444444
Latin Hypercube (rnd),10,0.9756944444444444,0.7361111111111112,0.6423611111111112,0.8229166666666666,0.8229166666666666,0.9791666666666666
Latin Hypercube (rnd),11,0.9861111111111112,0.7013888888888888,0.6666666666666666,0.875,0.7916666666666666,0.9861111111111112
Latin Hypercube (rnd),12,0.96875,0.71875,0.6909722222222222,0.84375,0.7986111111111112,0.9791666666666666
Latin Hypercube (rnd),13,0.9791666666666666,0.65625,0.6979166666666666,0.9236111111111112,0.8680555555555556,0.9826388888888888
Latin Hypercube (rnd),14,0.9930555555555556,0.7430555555555556,0.7083333333333334,0.8854166666666666,0.7777777777777778,0.9930555555555556
Latin Hypercube (rnd),15,0.96875,0.6909722222222222,0.6770833333333334,0.9305555555555556,0.7916666666666666,0.9791666666666666
Latin Hypercube (rnd),16,0.9861111111111112,0.7048611111111112,0.7291666666666666,0.875,0.7881944444444444,0.9861111111111112
Latin Hypercube (rnd),17,0.9791666666666666,0.7569444444444444,0.71875,0.9270833333333334,0.7881944444444444,0.9722222222222222
Latin Hypercube (rnd),18,0.9756944444444444,0.6875,0.7083333333333334,0.8645833333333334,0.7395833333333334,0.9756944444444444
Latin Hypercube (rnd),19,0.9791666666666666,0.6736111111111112,0.6875,0.8576388888888888,0.8645833333333334,0.9791666666666666
Latin Hypercube (rnd),20,0.9791666666666666,0.6979166666666666,0.6875,0.8472222222222222,0.8090277777777778,0.9826388888888888
Latin Hypercube (rnd),21,0.96875,0.6388888888888888,0.6979166666666666,0.875,0.8333333333333334,0.96875
Latin Hypercube (rnd),22,0.9861111111111112,0.7118055555555556,0.6875,0.8680555555555556,0.8298611111111112,0.9861111111111112
Latin Hypercube (rnd),23,0.9722222222222222,0.6840277777777778,0.6736111111111112,0.8263888888888888,0.8333333333333334,0.9756944444444444
Latin Hypercube (rnd),24,0.9756944444444444,0.7430555555555556,0.7256944444444444,0.8784722222222222,0.8472222222222222,0.9791666666666666
Latin Hypercube (rnd),25,0.9895833333333334,0.7048611111111112,0.6944444444444444,0.8923611111111112,0.84375,0.9826388888888888
Latin Hypercube (rnd),26,0.9791666666666666,0.6736111111111112,0.7048611111111112,0.8576388888888888,0.7743055555555556,0.9756944444444444
Latin Hypercube (rnd),27,0.9791666666666666,0.6493055555555556,0.6701388888888888,0.9166666666666666,0.8194444444444444,0.9791666666666666
Latin Hypercube (rnd),28,0.9791666666666666,0.6701388888888888,0.7222222222222222,0.9201388888888888,0.7638888888888888,0.96875
Latin Hypercube (rnd),29,0.9722222222222222,0.6875,0.6909722222222222,0.8784722222222222,0.7256944444444444,0.96875
Latin Hypercube (rnd),30,0.96875,0.6736111111111112,0.7291666666666666,0.9201388888888888,0.8263888888888888,0.9722222222222222
Latin Hypercube (rnd),31,0.9722222222222222,0.6979166666666666,0.6493055555555556,0.7881944444444444,0.8159722222222222,0.96875
Latin Hypercube (rnd),32,0.9756944444444444,0.7222222222222222,0.6736111111111112,0.90625,0.8055555555555556,0.9756944444444444
Latin Hypercube (rnd),33,0.9895833333333334,0.7048611111111112,0.6666666666666666,0.8715277777777778,0.8159722222222222,0.9895833333333334
Latin Hypercube (rnd),34,0.9756944444444444,0.7291666666666666,0.6944444444444444,0.8888888888888888,0.84375,0.9791666666666666
Latin Hypercube (rnd),35,0.9826388888888888,0.7673611111111112,0.6805555555555556,0.9027777777777778,0.7708333333333334,0.9826388888888888
Latin Hypercube (rnd),36,0.9826388888888888,0.6631944444444444,0.6770833333333334,0.9131944444444444,0.8298611111111112,0.9826388888888888
Latin Hypercube (rnd),37,0.9826388888888888,0.6805555555555556,0.7152777777777778,0.9375,0.78125,0.9895833333333334
Latin Hypercube (rnd),38,0.9861111111111112,0.7569444444444444,0.7083333333333334,0.8854166666666666,0.7951388888888888,0.9895833333333334
Latin Hypercube (rnd),39,0.9722222222222222,0.7013888888888888,0.6493055555555556,0.8854166666666666,0.7881944444444444,0.9791666666666666
Latin Hypercube (rnd),40,0.96875,0.6840277777777778,0.7222222222222222,0.8715277777777778,0.8576388888888888,0.96875
Latin Hypercube (rnd),41,0.9722222222222222,0.7604166666666666,0.6006944444444444,0.84375,0.8472222222222222,0.9722222222222222
Latin Hypercube (rnd),42,0.9861111111111112,0.7256944444444444,0.7534722222222222,0.8298611111111112,0.7569444444444444,0.9895833333333334
Latin Hypercube (rnd),43,0.9791666666666666,0.6666666666666666,0.6631944444444444,0.9236111111111112,0.8125,0.9756944444444444
Latin Hypercube (rnd),44,0.9861111111111112,0.7222222222222222,0.6666666666666666,0.8472222222222222,0.8333333333333334,0.9791666666666666
Latin Hypercube (rnd),45,0.9826388888888888,0.6493055555555556,0.6979166666666666,0.9340277777777778,0.7256944444444444,0.9930555555555556
Latin Hypercube (rnd),46,0.9895833333333334,0.7604166666666666,0.7291666666666666,0.8993055555555556,0.8125,0.9861111111111112
Latin Hypercube (rnd),47,0.9618055555555556,0.75,0.7395833333333334,0.875,0.8333333333333334,0.9756944444444444
Latin Hypercube (rnd),48,0.9791666666666666,0.7222222222222222,0.6493055555555556,0.90625,0.8090277777777778,0.9791666666666666
Latin Hypercube (rnd),49,0.96875,0.6840277777777778,0.7048611111111112,0.8680555555555556,0.7395833333333334,0.9722222222222222
